district,year_month,t2m,prectotcorr,rh2m,ws2m,t2m_max,t2m_min,ndvi,evi
Bagalkot,2016-11-01,23.271333333333335,7.200000000000001,46.452666666666666,2.328333333333333,32.870333333333335,15.526666666666667,,
Bagalkot,2016-12-01,22.815483870967743,2.9,39.630645161290325,2.305161290322581,32.07354838709677,15.060967741935483,,
Bagalkot,2017-01-01,22.916129032258063,0.0,37.58548387096774,2.1287096774193546,31.79225806451613,15.006451612903225,,
Bagalkot,2017-02-01,25.395357142857144,0.0,28.09035714285714,2.263571428571429,35.13321428571429,16.517142857142858,,
Bagalkot,2017-03-01,28.53774193548387,8.69,31.787419354838708,2.070967741935484,37.75806451612903,19.431290322580644,,
Bagalkot,2017-04-01,31.957333333333334,6.47,32.32833333333333,2.447666666666667,40.66433333333334,23.104,,
Bagalkot,2017-05-01,31.43290322580645,27.25,47.153225806451616,3.329032258064516,38.84516129032258,24.655483870967743,,
Bagalkot,2017-06-01,26.900333333333332,86.05,70.17533333333334,4.977333333333333,32.68033333333333,22.757333333333335,,
Bagalkot,2017-07-01,25.850967741935484,75.19,74.48096774193547,5.610322580645161,31.188064516129035,22.11774193548387,,
Bagalkot,2017-08-01,25.648387096774194,91.71,74.77387096774193,4.159032258064516,31.359354838709677,21.712903225806453,,
Bagalkot,2017-09-01,25.53533333333333,188.09,78.53299999999999,2.3786666666666667,30.591,21.674,,
Bagalkot,2017-10-01,24.15032258064516,112.27,80.04967741935484,1.6319354838709679,29.124193548387098,20.187096774193545,,
Bagalkot,2017-11-01,22.471333333333334,0.71,68.81400000000001,1.8903333333333334,29.858666666666668,16.434,,
Bagalkot,2017-12-01,21.933548387096774,4.8,55.02193548387097,2.2651612903225806,30.64032258064516,14.998709677419354,,
Bagalkot,2018-01-01,22.725161290322582,1.75,36.47387096774194,1.865483870967742,31.790967741935482,14.695483870967742,,
Bagalkot,2018-02-01,25.107142857142858,1.9800000000000002,28.521785714285716,2.154642857142857,33.84892857142857,17.07,,
Bagalkot,2018-03-01,28.59709677419355,8.64,31.406129032258065,2.132903225806452,37.00516129032258,20.581935483870968,,
Bagalkot,2018-04-01,31.466666666666665,26.37,37.27066666666666,2.0476666666666667,39.361666666666665,23.490333333333336,,
Bagalkot,2018-05-01,29.799032258064514,101.95,56.766451612903225,2.815483870967742,36.66483870967742,23.85,,
Bagalkot,2018-06-01,25.695333333333334,109.92,78.3,4.497333333333333,30.134333333333334,22.476,,
Bagalkot,2018-07-01,25.251935483870966,53.98,76.77806451612904,5.981612903225806,30.50774193548387,21.800967741935484,,
Bagalkot,2018-08-01,24.93548387096774,59.25,76.12548387096774,5.79741935483871,30.526774193548388,21.289032258064516,,
Bagalkot,2018-09-01,25.462,112.35,71.92833333333333,2.878,31.901666666666664,20.605666666666664,,
Bagalkot,2018-10-01,25.708387096774196,27.4,60.91935483870968,2.052258064516129,33.11645161290323,19.55516129032258,,
Bagalkot,2018-11-01,25.084666666666667,10.25,48.75266666666666,2.2516666666666665,33.149,18.29733333333333,,
Bagalkot,2018-12-01,23.17064516129032,3.3499999999999996,47.61096774193548,2.0480645161290325,31.086451612903225,16.276774193548388,,
Bagalkot,2019-01-01,22.22483870967742,0.52,36.43354838709678,2.109032258064516,31.832580645161293,13.848709677419356,,
Bagalkot,2019-02-01,26.166071428571428,0.04,33.395714285714284,2.2217857142857143,35.30464285714286,17.608214285714286,,
Bagalkot,2019-03-01,29.61,8.91,29.10483870967742,1.9416129032258065,38.7,20.585483870967742,,
Bagalkot,2019-04-01,31.642333333333333,31.28,37.349000000000004,2.2670000000000003,39.98566666666667,23.34733333333333,,
Bagalkot,2019-05-01,32.252580645161295,17.87,40.12677419354839,3.6635483870967738,40.71354838709677,24.365161290322582,,
Bagalkot,2019-06-01,28.336000000000002,88.86,65.08833333333334,4.526,34.589333333333336,23.644333333333336,,
Bagalkot,2019-07-01,25.636451612903226,106.43,78.4132258064516,5.250967741935484,30.073548387096775,22.518387096774195,,
Bagalkot,2019-08-01,24.89548387096774,178.10999999999999,81.55870967741936,5.34741935483871,29.414193548387097,21.78548387096774,,
Bagalkot,2019-09-01,24.787,111.9,82.003,3.6616666666666666,29.584999999999997,21.435000000000002,,
Bagalkot,2019-10-01,24.20483870967742,192.0,83.68225806451613,1.952258064516129,28.386129032258065,21.02064516129032,,
Bagalkot,2019-11-01,23.214333333333332,19.65,77.71866666666666,1.9803333333333333,29.103,18.512666666666668,,
Bagalkot,2019-12-01,23.198064516129033,3.75,71.56709677419354,2.259677419354839,29.786451612903225,18.13032258064516,,
Bagalkot,2020-01-01,23.948064516129033,1.5999999999999999,54.95935483870968,1.9993548387096773,32.28774193548387,16.879354838709677,,
Bagalkot,2020-02-01,25.939310344827586,0.95,38.93689655172414,2.4189655172413795,34.41379310344828,18.073793103448274,,
Bagalkot,2020-03-01,29.323548387096775,8.75,36.11064516129032,2.3177419354838706,37.38741935483871,21.253548387096775,,
Bagalkot,2020-04-01,30.43933333333333,78.23,45.965,2.192,38.153999999999996,22.957,,
Bagalkot,2020-05-01,31.345806451612905,63.3,51.04032258064516,2.885483870967742,38.34193548387096,25.13225806451613,,
Bagalkot,2020-06-01,26.646666666666665,84.74,72.31366666666666,4.572666666666667,32.22533333333333,22.553,,
Bagalkot,2020-07-01,25.179032258064513,210.89,79.96967741935484,4.14,29.763870967741934,21.898709677419355,,
Bagalkot,2020-08-01,24.749032258064517,137.4,83.72612903225807,4.912258064516129,28.926451612903225,21.83516129032258,,
Bagalkot,2020-09-01,24.430999999999997,195.61,84.65666666666667,3.0589999999999997,28.728,21.211333333333336,,
Bagalkot,2020-10-01,23.988709677419354,168.7,83.98935483870967,1.9596774193548387,28.500645161290322,20.453548387096777,,
Bagalkot,2020-11-01,22.320333333333334,2.83,81.48966666666666,2.4396666666666667,27.884,18.032333333333334,,
Bagalkot,2020-12-01,21.370322580645162,0.59,70.6516129032258,2.370967741935484,29.355806451612903,15.453870967741935,,
Bagalkot,2021-01-01,23.82903225806452,9.13,60.181290322580644,2.05741935483871,31.849032258064515,17.291612903225804,,
Bagalkot,2021-02-01,24.698571428571427,8.6,41.50071428571429,2.2875,33.331785714285715,16.793928571428573,,
Bagalkot,2021-03-01,28.879677419354838,1.07,27.456774193548387,2.398387096774193,37.78967741935484,20.35225806451613,,
Bagalkot,2021-04-01,30.826999999999998,44.31,40.775,2.2333333333333334,38.318,23.527333333333335,,
Bagalkot,2021-05-01,28.681612903225805,111.67999999999999,64.97032258064516,3.2774193548387096,34.66645161290323,23.783870967741933,,
Bagalkot,2021-06-01,25.966666666666665,120.42,75.181,4.427666666666667,31.035,22.23966666666667,,
Bagalkot,2021-07-01,24.97741935483871,150.72,81.25806451612904,5.072258064516129,29.250967741935483,22.036774193548386,,
Bagalkot,2021-08-01,24.91032258064516,63.72,79.05387096774194,4.009032258064516,30.003225806451614,21.240000000000002,,
Bagalkot,2021-09-01,24.837,105.31,80.29366666666667,3.8636666666666666,29.945333333333334,21.3,,
Bagalkot,2021-10-01,24.866451612903226,95.26,79.2416129032258,1.8590322580645162,30.046451612903226,20.77806451612903,,
Bagalkot,2021-11-01,23.894333333333336,65.43,77.92,2.322666666666667,29.642999999999997,19.783,,
Bagalkot,2021-12-01,22.18935483870968,14.93,69.98806451612903,1.8758064516129032,29.41032258064516,16.536451612903225,,
Bagalkot,2022-01-01,22.631290322580647,0.2,54.30935483870967,2.164516129032258,31.166774193548385,15.616774193548387,,
Bagalkot,2022-02-01,25.660714285714285,0.0,38.64178571428572,2.12,34.612857142857145,17.278928571428573,,
Bagalkot,2022-03-01,29.669032258064515,7.96,34.354516129032255,2.3038709677419353,37.76548387096774,21.843225806451613,,
Bagalkot,2022-04-01,30.826,51.77,43.70666666666667,2.0029999999999997,37.678999999999995,24.355,,
Bagalkot,2022-05-01,29.336129032258064,97.39000000000001,59.446129032258064,3.625483870967742,36.47516129032258,23.511290322580646,,
Bagalkot,2022-06-01,26.636333333333333,47.54,71.11,3.962,32.22766666666667,22.617666666666665,,
Bagalkot,2022-07-01,25.375806451612902,154.14,77.79193548387097,5.031612903225806,29.91741935483871,22.13193548387097,,
Bagalkot,2022-08-01,24.50258064516129,161.36,82.0641935483871,4.369032258064516,29.023870967741935,21.355806451612903,,
Bagalkot,2022-09-01,24.271,186.78,83.74066666666666,2.951,28.721,20.995333333333335,,
Bagalkot,2022-10-01,23.25709677419355,103.13,81.47709677419354,1.9729032258064518,28.223870967741938,19.177096774193547,,
Bagalkot,2022-11-01,22.288666666666664,1.81,74.79133333333333,2.026333333333333,29.100666666666665,16.910333333333334,,
Bagalkot,2022-12-01,23.37451612903226,8.59,66.38580645161291,2.116774193548387,31.20483870967742,17.255806451612905,,
Bagalkot,2023-01-01,23.22741935483871,0.01,45.33129032258064,2.1938709677419355,32.260000000000005,15.352903225806452,,
Bagalkot,2023-02-01,25.988928571428573,0.0,26.573928571428574,2.284642857142857,35.63428571428572,17.31642857142857,,
Bagalkot,2023-03-01,27.86709677419355,1.03,32.62612903225806,2.6309677419354838,36.3316129032258,19.52709677419355,,
Bagalkot,2023-04-01,30.25,39.75,38.14,2.2036666666666664,37.93833333333334,22.589,,
Bagalkot,2023-05-01,30.76225806451613,45.85,50.115483870967736,2.618709677419355,37.68774193548387,24.258064516129032,,
Bagalkot,2023-06-01,29.092,19.77,59.191,4.922666666666667,35.92633333333333,23.84333333333333,,
Bagalkot,2023-07-01,25.633225806451613,151.86,76.40322580645162,5.989677419354839,30.483225806451614,22.260967741935485,,
Bagalkot,2023-08-01,26.043225806451613,57.04,73.62935483870967,4.392258064516129,32.26709677419355,21.533548387096772,,
Bagalkot,2023-09-01,25.508666666666667,92.42999999999999,77.36333333333333,3.744666666666667,31.205333333333332,21.574333333333335,,
Bagalkot,2023-10-01,26.658709677419353,13.02,60.36806451612903,2.511290322580645,33.74161290322581,20.778387096774193,,
Bagalkot,2023-11-01,25.591333333333335,36.07,65.23766666666667,2.3736666666666664,32.190666666666665,20.473333333333336,,
Bagalkot,2023-12-01,24.258387096774193,1.43,52.61709677419355,2.5974193548387094,32.22741935483871,17.705806451612904,,
Bagalkot,2024-01-01,24.637096774193548,1.4100000000000001,46.288709677419355,2.2254838709677416,32.73935483870967,17.398064516129033,,
Bagalkot,2024-02-01,26.80103448275862,0.0,35.7451724137931,2.3706896551724137,35.834482758620695,18.405172413793103,,
Bagalkot,2024-03-01,30.643870967741936,0.68,29.619032258064518,2.2393548387096773,38.56193548387097,22.741290322580646,,
Bagalkot,2024-04-01,32.53033333333333,31.56,38.24533333333333,2.048,39.727666666666664,25.311333333333334,,
Bagalkot,2024-05-01,30.955483870967743,63.29,54.27645161290322,2.978709677419355,38.17967741935484,24.591290322580647,,
Bagalkot,2024-06-01,26.206,137.93,74.68299999999999,4.603,31.270333333333333,22.674,,
Bagalkot,2024-07-01,25.40741935483871,142.39,80.03709677419356,6.3180645161290325,29.794516129032257,22.366129032258065,,
Bagalkot,2024-08-01,25.655483870967743,110.61,81.4241935483871,3.831290322580645,30.065161290322582,22.486129032258066,,
Bagalkot,2024-09-01,24.927,150.89000000000001,80.91633333333334,3.602,29.949333333333335,21.41166666666667,,
Bagalkot,2024-10-01,24.786129032258064,168.6,82.48645161290322,1.9480645161290322,29.471612903225807,21.0258064516129,,
Bagalkot,2024-11-01,22.237666666666666,2.11,75.68533333333333,2.246666666666667,28.945333333333334,17.025666666666666,,
Bagalkot,2024-12-01,23.77064516129032,9.64,69.19580645161291,2.1593548387096773,30.778709677419354,18.411290322580644,,
Bagalkot,2025-01-01,23.383870967741935,0.0,47.50387096774193,2.581290322580645,32.44483870967742,15.844193548387098,,
Bagalkot,2025-02-01,26.592142857142857,0.31,30.592857142857145,2.370357142857143,35.9225,18.024285714285714,,
Bagalkot,2025-03-01,29.957741935483874,1.5699999999999998,27.029999999999998,2.2374193548387096,38.57322580645161,21.530967741935484,,
Bagalkot,2025-04-01,31.420333333333335,41.43,40.016,2.2640000000000002,39.22866666666666,23.84,,
Bagalkot,2025-05-01,28.48225806451613,175.52,61.70161290322581,3.541935483870968,34.33,23.163548387096775,,
Bagalkot,2025-06-01,25.892999999999997,117.39,78.62633333333333,5.076,30.77466666666667,22.434,,
Bagalkot,2025-07-01,25.02225806451613,151.5,80.8441935483871,5.617741935483871,29.553870967741933,21.970322580645163,,
Bagalkot,2025-08-01,24.21451612903226,242.23,84.76032258064517,4.0035483870967745,28.4541935483871,21.27064516129032,,
Bagalkot,2025-09-01,24.092333333333332,153.68,84.45633333333333,3.335,28.726999999999997,20.848000000000003,,
Bagalkot,2025-10-01,23.866451612903226,92.82000000000001,82.90225806451612,2.5883870967741935,28.879677419354838,20.113870967741935,,
Bagalkot,2025-11-01,-132.63600000000002,-2984.37,-79.885,-148.382,-127.9805,-136.52,,
Ballari,2016-11-01,24.695666666666668,0.49,45.80133333333333,2.14,33.361666666666665,17.619666666666667,,
Ballari,2016-12-01,23.03548387096774,13.4,49.917419354838714,2.270322580645161,31.741612903225807,16.07774193548387,,
Ballari,2017-01-01,23.256451612903227,0.19,46.98193548387097,2.3067741935483874,31.673548387096773,15.675161290322581,,
Ballari,2017-02-01,25.423214285714288,0.0,33.792142857142856,2.4092857142857143,34.76714285714286,16.528214285714288,,
Ballari,2017-03-01,28.86032258064516,21.45,34.388064516129035,2.024193548387097,37.42580645161291,20.480645161290322,,
Ballari,2017-04-01,33.01533333333334,11.0,31.767333333333333,2.3183333333333334,40.576,25.316,,
